customer,type,project,product,code,location,quantity,year
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADITYA ENTERPRISES ,Residential,RESIDENTIAL ,HANEX,N WHITE ,,,2017
ADD IDEAS AND SACHIN GUPTA ,Commercial,SOUTH CITY MALL ,HANEX ,SOLARIS,,7000 sqft ,2017-2018
NARESH AGARWAL,Commercial,COMMERICIAL PROJECT ,HANEX ,BLACK AND N WHITE ,,2000 sqft N WHITE AND 300 sqft black ,2017
ADD IDEAS ,Commercial,SOUTH CITY MALL ,HANEX ,GANGES BANK ,,1100 sqft ,2017-2018
"LIVSPACE,DELHI ",Residential,"RESIDENCE INTERIOR , DELHI ",PRE LAM BOARD ,FORSTY WHITE ,,2,2017
"LIVSPACE,DELHI ",Residential,"RESIDENCE INTERIOR , DELHI ",GLOSS MEISTER ,21055 (SHANGRILA),,4,2017
"LIVSPACE,DELHI ",Residential,"RESIDENCE INTERIOR , DELHI ",GLOSS MEISTER ,22099,,4,2017
S.S.HOME ZONE ,Commercial,SUNSHINE HOSPITAL ,LAMINATE ,1438 ( AMERICAN WALNUT ),,2500 SHEETS ,2017
BENGAL VENTURE ,Commercial,RELIANCE TRENDZ,LAMINATES ,"22091 , 22099",,200 SHEETS ,2017
SHREE LAXMI CREATIONS ,Commercial,BHANGALPUR PANTALOONS ,LAMINATES ,"21051 , 22099",,300 SHEETS ,2017
BENGAL VENTURE ,Commercial,"FBB JAMSHEDPUR ,P&M MALL",LAMINATES ,"11005, 22091, 14539",,200 SHEETS ,2017
SUBHANKAR INTERIORS ,Commercial,PANTALOONS AGARTALA ,LAMINATES ,"22091, 21051",,300 SHEETS ,2017
TKT INTERIORS ,Commercial,PANTALOONS KRISHNAGAR ,LAMINATES ,"22091, 21051 ",,220 SHEETS ,2017
,Commercial,EXELLON INTERIOR ,LAMINATES ,"44763 GMS ,22091, 14545 VNR ",,210 SHEETS ,2017
PINNACLE KITCHEN ,Residential,"RESIDENCE PROJECT, NEWTOWN ",LAMINATES ,"MR+21091 & 21127, 22291 ",,54 SHEETS ,2017
CULINARY CONCEPTS,Commercial,HOMELAND MALL,LAMINATES ,"UN MR+ 21057, 21065, 21066",,14 SHEETS ,2017
NAHAR INTERIOR ,Commercial,SHREE SHIKSHAYATAN COLLEGE ,LAMINATES ,"FR+22115 , 14686",,1200 SHEETS ,2015-2016
